TOTAL EMPLOYEES,COMPANY TYPE,YEAR OLD
501-1k Employees,27 years old,Pune +10 more
1k-5k Employees,60 years old,Jalna +52 more
Bangalore / Bengaluru +51 more,,
5k-10k Employees,60 years old,Chennai +24 more
51-200 Employees,22 years old,Princeton +12 more
201-500 Employees,9 years old,Navi Mumbai +93 more
1k-5k Employees,18 years old,Gurgaon/Gurugram +31 more
1k-5k Employees,53 years old,Ludhiana +12 more
11-50 Employees,187 years old,Southampton +12 more
201-500 Employees,20 years old,Navi Mumbai +44 more
5k-10k Employees,Central,82 years old
501-1k Employees,38 years old,Kolkata +45 more
51-200 Employees,19 years old,Lagos  +9 more
1k-5k Employees,20 years old,Chantilly +11 more
201-500 Employees,15 years old,Tel Aviv +57 more
501-1k Employees,14 years old,Kanpur +23 more
201-500 Employees,21 years old,Bangalore/Bengaluru +42 more
501-1k Employees,Startup,12 years old
Fortune India 500,Noida +21 more,
51-200 Employees,12 years old,Chennai +42 more
1k-5k Employees,52 years old,Hyderabad/Secunderabad +53 more
501-1k Employees,15 years old,New York +4 more
51-200 Employees,28 years old,New Delhi +2 more
501-1k Employees,Startup,13 years old
501-1k Employees,57 years old,Al-Khobar +20 more
51-200 Employees,22 years old,Mumbai +27 more
201-500 Employees,48 years old,Muscat +14 more
1k-5k Employees,38 years old,Bangalore/Bengaluru +12 more
201-500 Employees,16 years old,Kolkata +9 more
501-1k Employees,29 years old,Delhi/NCR +14 more
10k-50k Employees,Public,81 years old
501-1k Employees,Public,27 years old
201-500 Employees,Public,26 years old
501-1k Employees,Public,45 years old
1k-5k Employees,20 years old,Bangalore/Bengaluru +10 more
1k-5k Employees,15 years old,New Delhi +107 more
1k-5k Employees,7 years old,Mumbai +78 more
51-200 Employees,103 years old,Illinois +8 more
51-200 Employees,103 years old,Illinois +8 more
201-500 Employees,21 years old,Sion Mumbai +10 more
51-200 Employees,18 years old,Mumbai +49 more
1k-5k Employees,67 years old,Mumbai +44 more
201-500 Employees,18 years old,Faridabad +18 more
1k-5k Employees,Forbes Global 2000,46 years old
1k-5k Employees,39 years old,Amsterdam +43 more
501-1k Employees,14 years old,Mumbai +5 more
1k-5k Employees,159 years old,Mumbai +26 more
1k-5k Employees,100 years old,Delhi/NCR +37 more
201-500 Employees,40 years old,Buk-gu +12 more
1-10 Employees,36 years old,Mumbai +68 more
1k-5k Employees,33 years old,Mumbai +45 more
51-200 Employees,9 years old,Noida +9 more
1k-5k Employees,25 years old,New Delhi +10 more
10k-50k Employees,Conglomerate,98 years old
1k-5k Employees,33 years old,Chennai +9 more
201-500 Employees,11 years old,Chennai +44 more
10k-50k Employees,33 years old,Gurgaon/Gurugram +9 more
,,
501-1k Employees,10 years old,Bangalore +14 more
10k-50k Employees,Conglomerate,98 years old
,,
1k-5k Employees,Public,71 years old
201-500 Employees,11 years old,Chennai +44 more
51-200 Employees,17 years old,Princeton +4 more
1k-5k Employees,Public,66 years old
10k-50k Employees,33 years old,Gurgaon/Gurugram +9 more
501-1k Employees,Public,61 years old
51-200 Employees,35 years old,Chennai +63 more
1k-5k Employees,Pune +9 more,
51-200 Employees,12 years old,Noida +40 more
1k-5k Employees,38 years old,Montreuil +5 more
1k-5k Employees,59 years old,Gurgaon/Gurugram +41 more
51-200 Employees,14 years old,Chennai +47 more
501-1k Employees,15 years old,Kolkata +5 more
1k-5k Employees,24 years old,Noida +8 more
201-500 Employees,62 years old,Noida +8 more
1k-5k Employees,14 years old,New York +10 more
201-500 Employees,29 years old,Gurgaon/Gurugram +15 more
201-500 Employees,Startup,10 years old
1k-5k Employees,Gurgaon / Gurugram +63 more,
51-200 Employees,Public,101 years old
1k-5k Employees,24 years old,Noida +8 more
201-500 Employees,62 years old,Noida +8 more
501-1k Employees,15 years old,Kolkata +5 more
1k-5k Employees,Startup,8 years old
51-200 Employees,43 years old,Jeddah +19 more
11-50 Employees,11 years old,Greater Los Angeles +20 more
1k-5k Employees,Public,24 years old
501-1k Employees,Public,28 years old
11-50 Employees,15 years old,Mumbai +18 more
501-1k Employees,Public,38 years old
1k-5k Employees,128 years old,Erlangen +20 more
51-200 Employees,Coimbatore +4 more,
11-50 Employees,91 years old,Hyderabad +36 more
,,
1k-5k Employees,19 years old,Bengaluru/Bangalore +24 more
1k-5k Employees,Public,36 years old
1k-5k Employees,19 years old,Udaipur +1 more
201-500 Employees,Startup,8 years old
1k-5k Employees,Public,39 years old
201-500 Employees,22 years old,Richardson +26 more
201-500 Employees,Forbes Global 2000,130 years old
201-500 Employees,Conglomerate,128 years old
10k-50k Employees (Global),Bangalore / Bengaluru +5 more,
1k-5k Employees,154 years old,Muscat +25 more
1k-5k Employees,64 years old,Southlake +10 more
1k-5k Employees,15 years old,Chennai +96 more
201-500 Employees,Public,36 years old
1k-5k Employees,43 years old,Mumbai +51 more
201-500 Employees,Public,32 years old
201-500 Employees,14 years old,Bawal +15 more
201-500 Employees,Public,22 years old
501-1k Employees,Forbes Global 2000,51 years old
50k-1 Lakh Employees (Global),249 years old,Kolkata +31 more
501-1k Employees,18 years old,Chennai +29 more
1k-5k Employees,27 years old,Coimbatore +51 more
501-1k Employees,5 years old,Ahmedabad +9 more
201-500 Employees,Public,58 years old
501-1k Employees,48 years old,Hedehusene +27 more
201-500 Employees,15 years old,Ahmedabad +73 more
501-1k Employees,152 years old,Cologne +42 more
1k-5k Employees,24 years old,Ahmedabad +9 more
1k-5k Employees,33 years old,Kolkata +57 more
1k-5k Employees,41 years old,Idukki +49 more
1k-5k Employees,Public,42 years old
1k-5k Employees,Conglomerate,162 years old
501-1k Employees,Startup,8 years old
201-500 Employees,34 years old,Laguna Hills +4 more
111 years old,Glenview +31 more,
501-1k Employees,Forbes Global 2000,Burlington +9 more
201-500 Employees,Public,30 years old
51-200 Employees,49 years old,Riyadh +14 more
1k-5k Employees,10 years old,Singapore +7 more
1k-5k Employees,31 years old,Hyderabad/Secunderabad +47 more
501-1k Employees,31 years old,Bengaluru +11 more
501-1k Employees,Startup,3 years old
1k-5k Employees,31 years old,New Jersey +12 more
51-200 Employees,33 years old,Faridabad +16 more
1k-5k Employees,14 years old,Hyderabad +81 more
51-200 Employees,48 years old,Mumbai +50 more
201-500 Employees,14 years old,Noida +42 more
201-500 Employees,Public,33 years old
1k-5k Employees,63 years old,Mumbai +12 more
1k-5k Employees,82 years old,Chennai +6 more
51-200 Employees,20 years old,Manhattan Beach +3 more
1k-5k Employees,50 years old,Mumbai +81 more
501-1k Employees,16 years old,New Delhi +42 more
501-1k Employees,8 years old,Bengaluru +9 more
1k-5k Employees,37 years old,Miami +4 more
1k-5k Employees,Forbes Global 2000,54 years old
1k-5k Employees,27 years old,Chennai +38 more
1k-5k Employees,23 years old,Bangalore/Bengaluru +8 more
51-200 Employees,Startup,9 years old
1k-5k Employees,22 years old,Mumbai +10 more
10k-50k Employees,14 years old,Panchkula +13 more
201-500 Employees,Startup,8 years old
501-1k Employees,39 years old,Mumbai +8 more
501-1k Employees,20 years old,Cologne +17 more
501-1k Employees,27 years old,Kolkata +4 more
201-500 Employees,34 years old,Chennai +6 more
1k-5k Employees,14 years old,Mumbai +46 more
201-500 Employees,20 years old,Gurgaon/Gurugram +7 more
501-1k Employees,20 years old,Hyderabad/Secunderabad +4 more
1k-5k Employees,15 years old,Delhi/NCR +49 more
1k-5k Employees,165 years old,Essen +17 more
51-200 Employees,Nordborg +7 more,
201-500 Employees,Startup,8 years old
1k-5k Employees,86 years old,Kolkata +39 more
501-1k Employees,13 years old,Santa Clara +2 more
501-1k Employees,22 years old,Jaipur +74 more
51-200 Employees,13 years old,Gurgaon/Gurugram +15 more
,,
Jamshedpur +16 more,,
501-1k Employees,Forbes Global 2000,74 years old
501-1k Employees,15 years old,Mumbai +24 more
51-200 Employees,67 years old,Faridabad +13 more
5k-10k Employees,Public,125 years old
5k-10k Employees,19 years old,Chennai +48 more
10k-50k Employees,32 years old,Vadodara/Baroda +54 more
5k-10k Employees,19 years old,Chennai +48 more
1k-5k Employees,Public,28 years old
51-200 Employees,67 years old,Faridabad +13 more
501-1k Employees,30 years old,Bangalore Rural +12 more
501-1k Employees,17 years old,New York +5 more
51-200 Employees,Public,99 years old
1k-5k Employees,15 years old,New York City +7 more
Bangalore / Bengaluru +8 more,,
1k-5k Employees,Public,24 years old
501-1k Employees,17 years old,Woodbridge +8 more
501-1k Employees,25 years old,Chennai +7 more
1k-5k Employees,Fortune India 500,54 years old
501-1k Employees,Public,94 years old
201-500 Employees,16 years old,Chennai +37 more
1k-5k Employees,34 years old,Pune +6 more
501-1k Employees,Chennai +37 more,
201-500 Employees,20 years old,Bangalore +9 more
1k-5k Employees,46 years old,Mumbai +33 more
501-1k Employees,11 years old,Kolkata +5 more
501-1k Employees,Public,94 years old
1k-5k Employees,46 years old,Mumbai +33 more
51-200 Employees,16 years old,New Jersey +9 more
1k-5k Employees,34 years old,Pune +6 more
501-1k Employees,130 years old,Hyderabad +20 more
501-1k Employees,16 years old,Delhi +17 more
501-1k Employees,135 years old,Londonderry +99 more
1k-5k Employees,57 years old,Stockholm +25 more
51-200 Employees,16 years old,New Delhi +65 more
501-1k Employees,Public,37 years old
501-1k Employees,Public,48 years old
1k-5k Employees,Public,48 years old
1k-5k Employees,32 years old,Delhi/NCR +37 more
51-200 Employees,29 years old,Gurgaon/Gurugram +11 more
1k-5k Employees,22 years old,Mumbai +17 more
1k-5k Employees,23 years old,Newark +6 more
501-1k Employees,Forbes Global 2000,54 years old
51-200 Employees,24 years old,Mumbai +53 more
1 Lakh+ Employees (Global),35 years old,Jakarta +39 more
1k-5k Employees,93 years old,Deerfield +7 more
501-1k Employees,Public,61 years old
501-1k Employees,29 years old,Johannesburg +13 more
51-200 Employees,Public,37 years old
1k-5k Employees,38 years old,Thane +42 more
10k-50k Employees,20 years old,Gurgaon/Gurugram +15 more
1 Lakh+ Employees (Global),35 years old,Jakarta +39 more
1k-5k Employees,93 years old,Deerfield +7 more
501-1k Employees,Public,28 years old
501-1k Employees,5 years old,Yongin-si +5 more
501-1k Employees,11 years old,Gurugram +25 more
501-1k Employees,5 years old,Mumbai +8 more
201-500 Employees,40 years old,Mumbai +46 more
501-1k Employees,Public,85 years old
1k-5k Employees,Public,116 years old
5k-10k Employees,25 years old,Hyderabad/Secunderabad +10 more
1k-5k Employees,18 years old,Berlin +2 more
501-1k Employees,Conglomerate,29 years old
501-1k Employees,66 years old,Tittmoning +31 more
501-1k Employees,46 years old,Midnapore +23 more
1k-5k Employees,41 years old,Faridabad +4 more
1k-5k Employees,Public,116 years old
501-1k Employees,46 years old,Midnapore +23 more
5k-10k Employees,25 years old,Hyderabad/Secunderabad +10 more
501-1k Employees,Glen Allen +6 more,
501-1k Employees,Startup,12 years old
1k-5k Employees,22 years old,Albuquerque +14 more
1k-5k Employees,28 years old,New Udupi +9 more
51-200 Employees,20 years old,Mumbai +21 more
50k-1 Lakh Employees,Conglomerate,124 years old
1k-5k Employees,Fortune India 500,52 years old
501-1k Employees,38 years old,Mumbai +11 more
501-1k Employees,Public,64 years old
51-200 Employees,36 years old,Delhi +21 more
10k-50k Employees,57 years old,Beirut +24 more
201-500 Employees,34 years old,Gurgaon +10 more
501-1k Employees,Public,18 years old
501-1k Employees,28 years old,Bangalore/Bengaluru +10 more
201-500 Employees,Houston +12 more,
501-1k Employees,126 years old,Kansas City +3 more
1k-5k Employees,14 years old,Hyderabad/Secunderabad +3 more
1k-5k Employees,Indian Unicorn,15 years old
1k-5k Employees,20 years old,Milpitas +9 more
1k-5k Employees,Public,26 years old
501-1k Employees,Public,16 years old
1k-5k Employees,Public,53 years old
201-500 Employees,9 years old,Pune +5 more
501-1k Employees,32 years old,Aurangabad +9 more
501-1k Employees,40 years old,Mumbai +28 more
1k-5k Employees,41 years old,Chennai +30 more
51-200 Employees,139 years old,Montreal +31 more
501-1k Employees,Public,119 years old
201-500 Employees (Global),44 years old,New Delhi +53 more
201-500 Employees,16 years old,Noida +32 more
1k-5k Employees,20 years old,Salem +42 more
1k-5k Employees,Public,87 years old
201-500 Employees,Public,37 years old
1k-5k Employees,63 years old,Hosapete +27 more
51-200 Employees,14 years old,Noida +8 more
51-200 Employees,4 years old,Gurgaon/Gurugram +15 more
501-1k Employees,31 years old,Delhi/NCR +15 more
501-1k Employees,16 years old,Delhi/NCR +43 more
501-1k Employees,31 years old,Delhi/NCR +15 more
501-1k Employees,Public,13 years old
10k-50k Employees,39 years old,Rajnandgaon +51 more
501-1k Employees,26 years old,Delhi/NCR +37 more
1k-5k Employees,107 years old,Cincinnati +9 more
5k-10k Employees,Forbes Global 2000,134 years old
1k-5k Employees,Forbes Global 2000,39 years old
501-1k Employees,39 years old,Vijayawada +25 more
1k-5k Employees,15 years old,Delhi +42 more
501-1k Employees,29 years old,Bethesda +28 more
1k-5k Employees,Public,78 years old
201-500 Employees,68 years old,Gurgaon/Gurugram +6 more
201-500 Employees,56 years old,Hyderabad +22 more
51-200 Employees,14 years old,Delhi/NCR +10 more
1k-5k Employees,Public,44 years old
1k-5k Employees,16 years old,San Jose +11 more
5k-10k Employees,55 years old,Hoshiarpur +37 more
1k-5k Employees,9 years old,New York +12 more
1k-5k Employees,56 years old,Panaji/Panjim +39 more
501-1k Employees,16 years old,Navi Mumbai +11 more
1k-5k Employees,56 years old,Panaji/Panjim +39 more
501-1k Employees,10 years old,Noida +9 more
1k-5k Employees,9 years old,New York +12 more
51-200 Employees,15 years old,Santa Clara +1 more
201-500 Employees,13 years old,Houston +13 more
1k-5k Employees,Public,9 years old
51-200 Employees,8 years old,Hyderabad/Secunderabad +52 more
1k-5k Employees,51 years old,Las Vegas +10 more
1k-5k Employees,31 years old,Hyderabad/Secunderabad +3 more
1k-5k Employees,Startup,8 years old
10k-50k Employees,39 years old,Tirupati +35 more
501-1k Employees,60 years old,Houston +5 more
201-500 Employees,33 years old,Dubai +19 more
51-200 Employees,64 years old,Mumbai +11 more
201-500 Employees,14 years old,Gurugram +4 more
501-1k Employees,92 years old,Nagpur +42 more
Pune +52 more,,
51-200 Employees,326 years old,London +3 more
501-1k Employees,28 years old,Mumbai +10 more
5k-10k Employees,18 years old,Marseille +32 more
5k-10k Employees,66 years old,Gurgaon/Gurugram +40 more
201-500 Employees,Public,55 years old
5k-10k Employees,Public,17 years old
1k-5k Employees,Public,63 years old
201-500 Employees,23 years old,Boston
201-500 Employees,36 years old,Chennai +94 more
201-500 Employees,16 years old,Mumbai +110 more
1k-5k Employees,Noida +45 more,
51-200 Employees,19 years old,Bangalore +9 more
1k-5k Employees,Public,93 years old
1k-5k Employees,17 years old,Patna +46 more
201-500 Employees,68 years old,Gurgaon/Gurugram +9 more
501-1k Employees (Global),11 years old,Bangalore +2 more
201-500 Employees,13 years old,Mumbai +70 more
501-1k Employees,Public,73 years old
51-200 Employees,78 years old,Delhi/NCR +13 more
1k-5k Employees,21 years old,Somerset +7 more
501-1k Employees,15 years old,Gurgaon/Gurugram +8 more
1k-5k Employees,Indian Unicorn,13 years old
51-200 Employees,84 years old,Kolding +10 more
1k-5k Employees,22 years old,Varanasi +39 more
501-1k Employees,Public,45 years old
201-500 Employees,17 years old,Mumbai +3 more
1k-5k Employees,40 years old,Lalitpur +38 more
501-1k Employees (Global),17 years old,Gurugram +29 more
1k-5k Employees,38 years old,Mumbai +47 more
1k-5k Employees,26 years old,Alpharetta +3 more
201-500 Employees,Coimbatore,
201-500 Employees,10 years old,Sydney +2 more
201-500 Employees,42 years old,Mumbai +38 more
501-1k Employees,Public,35 years old
501-1k Employees,17 years old,Dhanbad +15 more
201-500 Employees,Public,31 years old
10k-50k Employees,20 years old,Shenzhen +37 more
1k-5k Employees,74 years old,Burgos +14 more
1k-5k Employees,118 years old,Mumbai +34 more
1k-5k Employees,89 years old,New Delhi +19 more
5k-10k Employees,Fortune India 500,65 years old
201-500 Employees,20 years old,Hyderabad/Secunderabad +16 more
1k-5k Employees,14 years old,Pune +20 more
51-200 Employees,24 years old,Chennai +3 more
501-1k Employees,Public,43 years old
11-50 Employees,Irving +20 more,
201-500 Employees,8 years old,Windermere +5 more
51-200 Employees,12 years old,Chennai +37 more
1k-5k Employees,Public,36 years old
1k-5k Employees,86 years old,Chennai +38 more
1k-5k Employees,Forbes Global 2000,17 years old
5k-10k Employees,Public,54 years old
201-500 Employees,72 years old,Delhi/NCR +40 more
