COMPANY NAME,RATING,REVIEWS,INDUSTRY,INDIA HQ,BRANCHES,PACKAGE,Highly_rated_for,Critically_rated_for
SAEL Industries Limited,3.8,-373,Power,New Delhi,51 other locations,1.3k,"Company Culture, Work Life Balance, Work Satisfaction",
Flyjac Logistics,4.1,-373,Logistics,Chennai,52 other locations,1.3k,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
Vectus Industries,4.1,-373,Petrochemicals,Noida,59 other locations,1.3k,"Job Security, Skill Development / Learning, Work Satisfaction",
Akal Information Systems,4.1,-373,IT Services & Consulting,New Delhi,47 other locations,1.8k,"Promotions / Appraisal, Salary & Benefits, Job Security",
Nowfloats Technologies,3,-374,Software Product,Hyderabad / Secunderabad,39 other locations,1.1k,"Job Security, Work Life Balance, Company Culture",
Runwal Group,4,-373,Real Estate,Mumbai,8 other locations,1.8k,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Karvy Innotech,3,-374,IT Services & Consulting,New Delhi,42 other locations,1.9k,Promotions / Appraisal,
SPRINKLR,2.8,-372,Software Product,Bangalore / Bengaluru,8 other locations,3.6k,"Salary & Benefits, Promotions / Appraisal, Company Culture",
SRM University,3.5,-372,Education & Training,Chennai,26 other locations,1.4k,"Work Life Balance, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
Ashiana Housing,4.1,-372,Real Estate,Jaipur,19 other locations,1.5k,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
MCM Telecom Equipment,3.8,-372,Electronics Manufacturing,Noida,6 other locations,911,Promotions / Appraisal,
Rama Medical College Hospital & Research Centre,4,-372,Healthcare,Kanpur,18 other locations,1.1k,Work Life Balance,
Nidec Corporation,3.7,-372,Industrial Machinery,Neemrana,25 other locations,1.5k,"Skill Development / Learning, Work Satisfaction, Work Life Balance",
Gujarat Ambuja Exports,3.5,-372,Agro Chemicals,Ahmedabad,32 other locations,1.4k,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
Nidec Corporation,3.7,-372,Industrial Machinery,Neemrana,25 other locations,1.5k,"Job Security, Skill Development / Learning","Work Life Balance, Work Satisfaction, Company Culture"
Heavy Engineering Industries & Shipbuilding,3.8,-372,Engineering & Construction,Kuwait City,29 other locations,628,Salary & Benefits,Job Security
MCM Telecom Equipment,3.8,-372,Electronics Manufacturing,Noida,6 other locations,911,"Promotions / Appraisal, Work Satisfaction, Job Security",
Kailash Hospital,3.7,-372,Healthcare,Noida,25 other locations,966,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
Descon Engineering,4,-371,Engineering & Construction,Mumbai,27 other locations,604,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Jeeves Consumer Services,3.6,-371,Consumer Electronics & Appliances,Bangalore / Bengaluru,57 other locations,848,"Work Life Balance, Company Culture, Job Security",
Publicis,3.6,-371,Marketing & Advertising,Gurgaon / Gurugram,16 other locations,3.8k,"Job Security, Work Satisfaction, Promotions / Appraisal",
HBL Global,4.3,-371,NBFC,New Delhi,78 other locations,373,"Company Culture, Skill Development / Learning, Work Life Balance",
Bses Yamuna Power,3.8,-371,Power,New Delhi,6 other locations,1.3k,"Job Security, Promotions / Appraisal, Work Satisfaction",
Mettler-Toledo,3.6,-371,Electrical Equipment,Mumbai,22 other locations,2k,Skill Development / Learning,"Promotions / Appraisal, Company Culture, Salary & Benefits"
V-Xpress,3.9,-371,Logistics,Mumbai,61 other locations,1k,"Promotions / Appraisal, Salary & Benefits, Company Culture",
BDO RISE Private Limited,3.3,-371,Accounting & Auditing,Bangalore / Bengaluru,9 other locations,2.3k,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Srei Equipment Finance,4.3,-371,Financial Services,Kolkata,78 other locations,1k,Promotions / Appraisal,
Gold Plus Glass,3.4,-371,Other,Roorkee,36 other locations,1.3k,"Skill Development / Learning, Job Security, Salary & Benefits",
Nissan,3.6,-370,Automobile,Chennai,72 other locations,1.8k,"Work Life Balance, Salary & Benefits, Company Culture",
Udaan India - The Original Visa Company,4.2,-370,Bangalore / Bengaluru +80 other locations,,,1.4k,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
Astra Microwave Products,3.9,-370,Defence & Aerospace,Hyderabad / Secunderabad,14 other locations,2k,"Job Security, Skill Development / Learning, Company Culture",
Watchyourhealth.com,4.6,-370,Emerging Technologies,Thane,3 other locations,346,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Copeland,3.9,-370,Electronics Manufacturing,Pune,26 other locations,2k,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
MRF Vapocure Paints,4.1,-370,Chemicals,Chennai,92 other locations,1.2k,"Skill Development / Learning, Company Culture, Work Life Balance",
RDC Concrete (India),4.1,-370,Real Estate,Mumbai,48 other locations,1.2k,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Intercontinental Exchange,3.1,-370,FinTech,Hyderabad / Secunderabad,7 other locations,2.3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Kuehne + Nagel,3.7,-370,Logistics,Gurgaon / Gurugram,33 other locations,1.6k,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Axis Finance,3.6,-370,NBFC,Mumbai,76 other locations,2k,"Promotions / Appraisal, Work Satisfaction, Job Security",
Merck,4.2,-369,Pharma,Bangalore / Bengaluru,52 other locations,2.3k,"Job Security, Work Life Balance, Work Satisfaction",
V-bazaar Retail,3.8,-369,Retail,Gurgaon / Gurugram,74 other locations,878,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
Owens Corning,3.5,-369,Building Material,Mumbai,12 other locations,1.7k,"Job Security, Company Culture, Skill Development / Learning",
State Street Bank,3.6,-369,Banking,Bangalore / Bengaluru,17 other locations,2.8k,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",
ClearTax,3.1,-370,IT Services & Consulting,Bangalore / Bengaluru,10 other locations,2k,Promotions / Appraisal,
World Vision,4.3,-369,Non-Profit,Chennai,98 other locations,692,Job Security,"Work Life Balance, Work Satisfaction, Company Culture"
Sagar Cements,4.3,-369,Building Material,Hyderabad / Secunderabad,44 other locations,1.3k,Work Life Balance,"Job Security, Promotions / Appraisal"
KaaShiv InfoTech Company,4.9,-369,EdTech,Chennai,4 other locations,217,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Mindlance,3.7,-368,Recruitment,Noida,11 other locations,1.5k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Healthcare At Home,3.7,-368,Healthcare,Mumbai,33 other locations,1.2k,"Salary & Benefits, Job Security, Company Culture",Promotions / Appraisal
AQuity Solutions India,3.6,-369,IT Services & Consulting,Hyderabad / Secunderabad,19 other locations,2k,Work Life Balance,"Job Security, Promotions / Appraisal"
Sumitomo Chemical,4,-368,Chemicals,Bhavnagar,79 other locations,1.5k,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
Indraprastha Gas,3.8,-368,Oil & Gas,New Delhi,25 other locations,1.6k,"Job Security, Promotions / Appraisal, Work Satisfaction",
eNoah iSolution,3.8,-368,IT Services & Consulting,Chennai,7 other locations,2.2k,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
UNIVO Education,3.4,-368,EdTech,Noida,9 other locations,1.4k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Innovatiview India Ltd,4,-368,Emerging Technologies,Noida,13 other locations,1.2k,"Promotions / Appraisal, Job Security",
T?V Rheinland,4.1,-367,Law Enforcement & Security,Bangalore / Bengaluru,57 other locations,1.3k,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Agilent Technologies,4,-367,Pharma,Gurgaon / Gurugram,19 other locations,1.9k,"Company Culture, Skill Development / Learning, Work Satisfaction",
Motilal Oswal Private Wealth Management,4.4,-367,Mumbai +25 other locations,,,300,"Job Security, Work Life Balance",
Burns & McDonnell,4,-367,Engineering & Construction,Mumbai,9 other locations,2.1k,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Air Liquide,3.8,-367,Chemicals,New Delhi,36 other locations,1.5k,"Work Life Balance, Job Security",Promotions / Appraisal
SirionLabs,3.6,-367,Software Product,Gurgaon / Gurugram,6 other locations,1.8k,"Promotions / Appraisal, Salary & Benefits",
G. D. Foods MFG (TOPS),3.9,-368,Food Processing,New Delhi,51 other locations,949,"Job Security, Company Culture, Work Life Balance",
KrazyBee,3.7,-367,Internet,Bangalore / Bengaluru,18 other locations,1.9k,Work Life Balance,Promotions / Appraisal
Park Hospital,3.6,-366,Healthcare,Gurgaon / Gurugram,22 other locations,1.2k,Promotions / Appraisal,
Diverse Lynx,3.5,-366,IT Services & Consulting,Noida,19 other locations,1.9k,Company Culture,Promotions / Appraisal
Hathi Cement,4,-366,Building Material,Porbandar,40 other locations,1.1k,"Salary & Benefits, Job Security, Company Culture",
Starbucks,4,-366,Hospitality,Mumbai,58 other locations,964,Job Security,Promotions / Appraisal
Mahindra Last Mile Mobility,3.6,-366,Automobile,Bangalore / Bengaluru,29 other locations,1k,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",
AppInventiv Technologies,3.7,-366,Software Product,Noida,11 other locations,2.4k,"Promotions / Appraisal, Job Security",
L&T Valves,3.7,-366,Industrial Machinery,Coimbatore,14 other locations,2k,"Skill Development / Learning, Company Culture",
US Tech Solutions,3.7,-366,Recruitment,Noida,14 other locations,2.1k,"Job Security, Work Satisfaction, Promotions / Appraisal",
IDS Infotech,2.8,-365,IT Services & Consulting,Chandigarh,20 other locations,1.3k,Promotions / Appraisal,
Toshiba JSW Power Systems,4.2,-365,Industrial Machinery,Chennai,14 other locations,1.6k,Promotions / Appraisal,
Rosmerta Technologies,3.4,-365,Automobile,Gurgaon / Gurugram,56 other locations,1.6k,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Lido Learning,2.1,-365,EdTech,Mumbai,18 other locations,1.6k,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
Konecranes,4,-365,Industrial Machinery,Pune,14 other locations,1.8k,"Job Security, Company Culture",Promotions / Appraisal
Icertis,3.3,-365,Software Product,Pune,11 other locations,3k,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
Grand Hyatt,4.3,-365,Hospitality,Mumbai,28 other locations,892,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",
Universal Corporation,3.7,-365,Pharma,Kolkata,58 other locations,1.2k,"Job Security, Work Life Balance, Work Satisfaction",
Hexagon Capability Center,4,-365,IT Services & Consulting,Hyderabad / Secunderabad,9 other locations,2.7k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
KLAY Schools,3.6,-365,Education & Training,Bangalore / Bengaluru,18 other locations,1.3k,"Job Security, Skill Development / Learning, Work Life Balance",
SKH Y-TEC,3.8,-365,Auto Components,Ahmedabad,22 other locations,1.3k,"Work Satisfaction, Job Security, Company Culture",
S2 Infotech,3.6,-365,Recruitment,Mumbai,68 other locations,1.5k,Promotions / Appraisal,
Enphase Energy,2.7,-365,Power,Bangalore / Bengaluru,11 other locations,2.7k,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Labournet Services,3.8,-365,Non-Profit,Bangalore / Bengaluru,56 other locations,878,"Skill Development / Learning, Company Culture, Work Satisfaction",
BCH Electric,3.9,-364,Electrical Equipment,Faridabad,35 other locations,1.4k,"Company Culture, Work Life Balance, Salary & Benefits",
Bosch Rexroth India,3.9,-365,Industrial Machinery,Ahmedabad,19 other locations,1.4k,"Company Culture, Job Security, Salary & Benefits",
Jamna Auto Industries,3.8,-364,Auto Components,Gwalior,38 other locations,1.6k,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
Methodex,3.7,-364,Law Enforcement & Security,New Delhi,47 other locations,1.3k,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Azentio,3.2,-364,Software Product,Chennai,15 other locations,3.4k,"Job Security, Skill Development / Learning, Company Culture",
Stanley Black & Decker,3.8,-363,Pune +26 other locations,,,1.8k,"Work Life Balance, Company Culture, Work Satisfaction",
GMR Hyderabad International Airport,4,-363,Aviation,Hyderabad / Secunderabad,14 other locations,1.2k,"Job Security, Skill Development / Learning, Company Culture",
ITSource Technologies,2.8,-363,IT Services & Consulting,Mumbai,28 other locations,1.8k,"Job Security, Work Life Balance","Promotions / Appraisal, Company Culture"
Arjas Steel,3.9,-363,Iron & Steel,Anantapur,20 other locations,1.2k,Job Security,Promotions / Appraisal
Foundit,3.2,-363,Hyderabad / Secunderabad +15 other locations,,,1.9k,Promotions / Appraisal,
Rail Vikas Nigam,3.4,-364,FMCG,New Delhi,75 other locations,950,,
Examity,3.4,-363,EdTech,Hyderabad / Secunderabad,6 other locations,1.8k,,
VIT University,3.9,-362,Education & Training,Vellore,15 other locations,1.4k,"Work Life Balance, Skill Development / Learning, Company Culture",
Hyundai Engineering and Construction,4.4,-362,Engineering & Construction,Chennai,32 other locations,519,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
Jubilant Biosys,3.6,-362,Biotechnology,Bangalore / Bengaluru,13 other locations,1.8k,"Job Security, Company Culture, Skill Development / Learning",
Mahendra?? Institute,3.3,-362,Education & Training,Lucknow,91 other locations,693,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
D.p. Jain & Co. Infrastructure Pvt .,3.2,-362,Engineering & Construction,Nagpur,39 other locations,1.3k,"Skill Development / Learning, Company Culture, Work Life Balance",
Cooper Corporation,4,-362,Auto Components,Satara,13 other locations,1.4k,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Hilex,3.7,-362,Automobile,Chennai,16 other locations,1.1k,"Job Security, Company Culture",Promotions / Appraisal
Cedcoss Technologies,3,-362,IT Services & Consulting,Lucknow,3 other locations,1.9k,"Work Life Balance, Job Security, Skill Development / Learning",
Teachnook,3,-362,EdTech,Bangalore / Bengaluru,17 other locations,407,"Promotions / Appraisal, Salary & Benefits",
Kennametal,3.6,-361,Industrial Machinery,Bangalore / Bengaluru,12 other locations,1.8k,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security"
Johnson Controls Hitachi Air Conditioning,3.7,-360,Consumer Electronics & Appliances,Ahmedabad,36 other locations,1.6k,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Zara,3.5,-360,Fashion & Textile,New Delhi,21 other locations,815,Work Life Balance,Promotions / Appraisal
Repco Home Finance,3.7,-360,NBFC,Chennai,86 other locations,959,"Salary & Benefits, Company Culture, Work Life Balance",
Mobileum,3.3,-360,Software Product,Bangalore / Bengaluru,10 other locations,2.2k,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Company Culture"
LeadSquared,2.7,-360,Software Product,Bangalore / Bengaluru,14 other locations,2.8k,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Dixit Infotech Services,3.8,-360,IT Services & Consulting,Mumbai,40 other locations,1.3k,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Adani Logistics,3.8,-361,Ahmedabad +68 other locations,,,1.6k,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Repco Home Finance,3.7,-360,NBFC,Chennai,86 other locations,959,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Satyam Venture Engineering Services,3.5,-360,Auto Components,Hyderabad / Secunderabad,12 other locations,2.4k,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Alfa Laval,3.9,-359,Industrial Machinery,Pune,18 other locations,1.7k,Company Culture,Promotions / Appraisal
Civica India,3.2,-359,IT Services & Consulting,Vadodara,12 other locations,2k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Helloverify,3,-359,Law Enforcement & Security,Noida,9 other locations,1.4k,"Job Security, Promotions / Appraisal, Company Culture",
